,Fecha,Criptomoneda,Precio,Variación 24h,Capitalización de mercado,Volumen
136,2020-12-24,Bitcoin,23760.287048542956,1.9399234089540807,441614502954.16,36826373658.97
137,2020-12-25,Bitcoin,24671.107714415415,3.8333739992771454,458416319552.32,36622874229.83
138,2020-12-26,Bitcoin,26476.130137019492,7.3163412178262055,491978602969.93,41995154622.74
139,2020-12-27,Bitcoin,26423.22879190229,-0.19980769411325205,493427450341.26,56654980595.93
140,2020-12-28,Bitcoin,27125.384120651503,2.6573411382805556,503712223153.67,42186521237.47
141,2020-12-29,Bitcoin,27424.538954606684,1.1028593461554825,509680257177.05,38081840205.60
142,2020-12-30,Bitcoin,28837.28852895899,5.151406835647077,535967306917.84,43341140482.28
143,2020-12-31,Bitcoin,29022.41839530417,0.6419808372734703,539438036435.67,43503516563.29
144,2021-01-01,Bitcoin,29352.12679194895,1.1360472864595295,545593282215.25,34089717988.09
145,2021-01-02,Bitcoin,32163.824935335215,9.57919732125676,597887713053.58,57273436641.22
146,2021-01-03,Bitcoin,33008.226203489285,2.625313593304668,613616917625.70,178894068361.35
147,2021-01-04,Bitcoin,31515.575966658354,-4.522055282913517,585726270248.79,74657165356.23
148,2021-01-05,Bitcoin,34082.20604904424,8.144004999626953,633651671519.40,67420500715.52
149,2021-01-06,Bitcoin,36933.520137309126,8.365990406142876,682743683563.07,71027195897.95
150,2021-01-07,Bitcoin,39547.08408135567,7.076400880094824,735339707368.33,78642959829.49
151,2021-01-08,Bitcoin,40815.96185478254,3.2085242259999536,758971014787.36,82846468856.35
152,2021-01-09,Bitcoin,40296.5290038294,-1.2726218551487478,749347201462.64,55921808671.54
153,2021-01-10,Bitcoin,38397.895985418174,-4.711653994394394,714078952009.02,73381123612.69
154,2021-01-11,Bitcoin,35669.90668663349,-7.1045280705501535,663380898829.01,111691569520.11
155,2021-01-12,Bitcoin,33938.33587810088,-4.854430441169278,629751630408.41,68954134557.37
156,2021-01-13,Bitcoin,37456.00772548642,10.364891961763401,696668634091.34,65278944793.98
157,2021-01-14,Bitcoin,39232.74997140346,4.7435441036287385,729751433670.09,57519444621.69
158,2021-01-15,Bitcoin,36787.52121668496,-6.232621359707924,684304915288.23,63450740093.03
159,2021-01-16,Bitcoin,36254.713079410845,-1.4483393271750522,674660879866.02,55054325262.44
160,2021-01-17,Bitcoin,35804.263885674685,-1.2424569262195373,672291934493.44,50749258739.19
161,2021-01-18,Bitcoin,36595.4647692826,2.209795140976123,682647247200.10,46769030146.77
162,2021-01-19,Bitcoin,36104.86385775514,-1.3406057680110606,671734819189.10,51736994549.01
163,2021-01-20,Bitcoin,35587.489202735545,-1.4329777202814808,662434464441.26,58406615612.07
164,2021-01-21,Bitcoin,30913.695736053804,-13.133248710118261,575205510268.13,69415314297.67
165,2021-01-22,Bitcoin,32957.908782655926,6.61264529500436,613271077002.48,69549742252.37
166,2021-01-23,Bitcoin,32068.08737440817,-2.6998721736739117,596744391345.35,43575409684.64
167,2021-01-24,Bitcoin,32273.51735032927,0.6406056386295322,600595408892.20,42810544126.18
168,2021-01-25,Bitcoin,32375.320062981456,0.31543730281120563,602517850752.03,50410553261.41
